question,volume,suspicion_score,surprise_score,late_move_ratio,price_volatility,max_single_move,total_price_move,price_momentum_6h,price_momentum_12h,new_wallet_ratio,new_wallet_ratio_6h,burst_score,order_flow_imbalance,wallet_age_median_days,cross_market_wallet_flag,label_weight,is_confirmed,is_positive,pu_prob,iso_score,ocsvm_score,insider_trading_prob,end_date
Maduro out in 2025?,34641400.627049,-0.11639313977171689,0.0075,0.0,0.0006669118305811693,0.0025000000000000005,0.006,-0.0035,-0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.6,False,True,0.9246169925568747,0.24186274670224048,0.00025910819334440394,0.705607703391437,2025-12-31T12:00:00Z
Will Trump visit China by March 31?,10369639.104046939,0.01623337608605946,0.61,0.0,0.062124153854663675,0.415,0.49,0.0,-0.024999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.19861309832413715,0.48616613953472415,3.1706891712168783e-07,0.17326819413362246,2025-10-31T00:00:00Z
Will a Democrat win Pennsylvania Presidential Election?,12960333.136703,-0.18132424998946145,0.445,0.24999999999999895,0.005455694214875776,0.024999999999999967,0.03999999999999998,-0.009999999999999953,-0.009999999999999953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.14193366662980939,0.0484483376531879,0.7156344419186292,0.2519995552387423,2024-11-05T12:00:00Z
Will a Republican win Pennsylvania Presidential Election?,12519682.451836,-0.176769045474154,0.44499999999999995,0.2500000000000007,0.005399394698063629,0.020000000000000018,0.039999999999999925,0.0,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.1082106349625381,0.06425247671436622,0.6684295468419232,0.21805650942600652,2024-11-05T12:00:00Z
"Will Melania say ""Career"" during AI talk on Friday?",31097575.061839,-0.021888954482665257,0.5,0.13793103448275873,0.05003998401278722,0.13,0.14500000000000002,-0.14500000000000002,-0.14500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.1526951123098484,0.4880215900984445,0.0334195524899934,0.1456063242353072,2026-01-16T00:00:00Z
Will a Democrat win Michigan Presidential Election?,10404102.083081,-0.17200108679066223,0.4,0.0,0.004177479556611038,0.015000000000000013,0.0,-0.015000000000000013,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.15988453379255213,0.03298061467244675,0.4295185196728062,0.2074661350125977,2024-11-05T12:00:00Z
Will Trump talk to Xi Jinping in March?,12358578.449661002,0.19942404215078402,0.37,0.0056980056980057035,0.13444748689098632,0.6815,0.351,-0.7255,-0.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.1526951123098484,1.0,0.0,0.1645213342323863,2026-03-31T00:00:00Z
Trump wins every swing state?,16221133.479478,-0.17609534644285424,0.205,0.0,0.008601904260312147,0.03999999999999998,0.009999999999999981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.1082106349625381,0.021596282403488216,0.03770367284947329,0.08977852491197263,2024-11-05T12:00:00Z
Lord Miles completes 40-day water fast in the desert?,14296822.328016,-0.08876428326268465,0.225,0.01830663615560641,0.02176999861061486,0.13,0.2185,-0.0585,-0.0585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.1526951123098484,0.24285455216671323,0.017876922378952442,0.13023944631651244,2025-09-30T00:00:00Z
Government shutdown on Saturday?,13550398.086217,0.11225997694305101,0.83,0.007942238267148023,0.08310110587771193,0.5715,0.6924999999999999,-0.10249999999999998,-0.07899999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.24220378712952173,0.7282815560264563,3.6637359812630166e-15,0.21806691814846485,2026-02-14T00:00:00Z
US government shutdown by October 1?,13491651.789377,-0.05634632016893493,0.385,0.0,0.027566537472630978,0.135,0.31000000000000005,0.09000000000000008,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.1250324895913885,0.35621378234821066,0.005066057916729871,0.11259826789429787,2025-10-01T00:00:00Z
Will South Korea presidential election winner get over 50% of votes?,13094030.56774,-0.0644485186520708,0.345,0.0,0.01794312224877278,0.08000000000000007,0.0,0.15000000000000002,0.11499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.1250324895913885,0.38951364998935434,0.019582307390116793,0.11716651117103244,2025-06-03T12:00:00Z
